category,unicode,name,browser
Lu,U+0041,LATIN CAPITAL LETTER A,A
Lu,U+0042,LATIN CAPITAL LETTER B,B
Lu,U+0043,LATIN CAPITAL LETTER C,C
Lu,U+0044,LATIN CAPITAL LETTER D,D
Lu,U+0045,LATIN CAPITAL LETTER E,E
Lu,U+0046,LATIN CAPITAL LETTER F,F
Lu,U+0047,LATIN CAPITAL LETTER G,G
Lu,U+0048,LATIN CAPITAL LETTER H,H
Lu,U+0049,LATIN CAPITAL LETTER I,I
Lu,U+004A,LATIN CAPITAL LETTER J,J
Lu,U+004B,LATIN CAPITAL LETTER K,K
Lu,U+004C,LATIN CAPITAL LETTER L,L
Lu,U+004D,LATIN CAPITAL LETTER M,M
Lu,U+004E,LATIN CAPITAL LETTER N,N
Lu,U+004F,LATIN CAPITAL LETTER O,O
Lu,U+0050,LATIN CAPITAL LETTER P,P
Lu,U+0051,LATIN CAPITAL LETTER Q,Q
Lu,U+0052,LATIN CAPITAL LETTER R,R
Lu,U+0053,LATIN CAPITAL LETTER S,S
Lu,U+0054,LATIN CAPITAL LETTER T,T
Lu,U+0055,LATIN CAPITAL LETTER U,U
Lu,U+0056,LATIN CAPITAL LETTER V,V
Lu,U+0057,LATIN CAPITAL LETTER W,W
Lu,U+0058,LATIN CAPITAL LETTER X,X
Lu,U+0059,LATIN CAPITAL LETTER Y,Y
Lu,U+005A,LATIN CAPITAL LETTER Z,Z
Lu,U+00C0,LATIN CAPITAL LETTER A WITH GRAVE,À
Lu,U+00C1,LATIN CAPITAL LETTER A WITH ACUTE,Á
Lu,U+00C2,LATIN CAPITAL LETTER A WITH CIRCUMFLEX,Â
Lu,U+00C3,LATIN CAPITAL LETTER A WITH TILDE,Ã
Lu,U+00C4,LATIN CAPITAL LETTER A WITH DIAERESIS,Ä
Lu,U+00C5,LATIN CAPITAL LETTER A WITH RING ABOVE,Å
Lu,U+00C6,LATIN CAPITAL LETTER AE,Æ
Lu,U+00C7,LATIN CAPITAL LETTER C WITH CEDILLA,Ç
Lu,U+00C8,LATIN CAPITAL LETTER E WITH GRAVE,È
Lu,U+00C9,LATIN CAPITAL LETTER E WITH ACUTE,É
Lu,U+00CA,LATIN CAPITAL LETTER E WITH CIRCUMFLEX,Ê
Lu,U+00CB,LATIN CAPITAL LETTER E WITH DIAERESIS,Ë
Lu,U+00CC,LATIN CAPITAL LETTER I WITH GRAVE,Ì
Lu,U+00CD,LATIN CAPITAL LETTER I WITH ACUTE,Í
Lu,U+00CE,LATIN CAPITAL LETTER I WITH CIRCUMFLEX,Î
Lu,U+00CF,LATIN CAPITAL LETTER I WITH DIAERESIS,Ï
Lu,U+00D0,LATIN CAPITAL LETTER ETH,Ð
Lu,U+00D1,LATIN CAPITAL LETTER N WITH TILDE,Ñ
Lu,U+00D2,LATIN CAPITAL LETTER O WITH GRAVE,Ò
Lu,U+00D3,LATIN CAPITAL LETTER O WITH ACUTE,Ó
Lu,U+00D4,LATIN CAPITAL LETTER O WITH CIRCUMFLEX,Ô
Lu,U+00D5,LATIN CAPITAL LETTER O WITH TILDE,Õ
Lu,U+00D6,LATIN CAPITAL LETTER O WITH DIAERESIS,Ö
Lu,U+00D8,LATIN CAPITAL LETTER O WITH STROKE,Ø
Lu,U+00D9,LATIN CAPITAL LETTER U WITH GRAVE,Ù
Lu,U+00DA,LATIN CAPITAL LETTER U WITH ACUTE,Ú
Lu,U+00DB,LATIN CAPITAL LETTER U WITH CIRCUMFLEX,Û
Lu,U+00DC,LATIN CAPITAL LETTER U WITH DIAERESIS,Ü
Lu,U+00DD,LATIN CAPITAL LETTER Y WITH ACUTE,Ý
Lu,U+00DE,LATIN CAPITAL LETTER THORN,Þ
Lu,U+0100,LATIN CAPITAL LETTER A WITH MACRON,Ā
Lu,U+0102,LATIN CAPITAL LETTER A WITH BREVE,Ă
Lu,U+0104,LATIN CAPITAL LETTER A WITH OGONEK,Ą
Lu,U+0106,LATIN CAPITAL LETTER C WITH ACUTE,Ć
Lu,U+0108,LATIN CAPITAL LETTER C WITH CIRCUMFLEX,Ĉ
