category,unicode,name,browser
Nd,U+0030,DIGIT ZERO,0
Nd,U+0031,DIGIT ONE,1
Nd,U+0032,DIGIT TWO,2
Nd,U+0033,DIGIT THREE,3
Nd,U+0034,DIGIT FOUR,4
Nd,U+0035,DIGIT FIVE,5
Nd,U+0036,DIGIT SIX,6
Nd,U+0037,DIGIT SEVEN,7
Nd,U+0038,DIGIT EIGHT,8
Nd,U+0039,DIGIT NINE,9
Nd,U+0660,ARABIC-INDIC DIGIT ZERO,٠
Nd,U+0661,ARABIC-INDIC DIGIT ONE,١
Nd,U+0662,ARABIC-INDIC DIGIT TWO,٢
Nd,U+0663,ARABIC-INDIC DIGIT THREE,٣
Nd,U+0664,ARABIC-INDIC DIGIT FOUR,٤
Nd,U+0665,ARABIC-INDIC DIGIT FIVE,٥
Nd,U+0666,ARABIC-INDIC DIGIT SIX,٦
Nd,U+0667,ARABIC-INDIC DIGIT SEVEN,٧
Nd,U+0668,ARABIC-INDIC DIGIT EIGHT,٨
Nd,U+0669,ARABIC-INDIC DIGIT NINE,٩
Nd,U+06F0,EXTENDED ARABIC-INDIC DIGIT ZERO,۰
Nd,U+06F1,EXTENDED ARABIC-INDIC DIGIT ONE,۱
Nd,U+06F2,EXTENDED ARABIC-INDIC DIGIT TWO,۲
Nd,U+06F3,EXTENDED ARABIC-INDIC DIGIT THREE,۳
Nd,U+06F4,EXTENDED ARABIC-INDIC DIGIT FOUR,۴
Nd,U+06F5,EXTENDED ARABIC-INDIC DIGIT FIVE,۵
Nd,U+06F6,EXTENDED ARABIC-INDIC DIGIT SIX,۶
Nd,U+06F7,EXTENDED ARABIC-INDIC DIGIT SEVEN,۷
Nd,U+06F8,EXTENDED ARABIC-INDIC DIGIT EIGHT,۸
Nd,U+06F9,EXTENDED ARABIC-INDIC DIGIT NINE,۹
Nd,U+07C0,NKO DIGIT ZERO,߀
Nd,U+07C1,NKO DIGIT ONE,߁
Nd,U+07C2,NKO DIGIT TWO,߂
Nd,U+07C3,NKO DIGIT THREE,߃
Nd,U+07C4,NKO DIGIT FOUR,߄
Nd,U+07C5,NKO DIGIT FIVE,߅
Nd,U+07C6,NKO DIGIT SIX,߆
Nd,U+07C7,NKO DIGIT SEVEN,߇
Nd,U+07C8,NKO DIGIT EIGHT,߈
Nd,U+07C9,NKO DIGIT NINE,߉
Nd,U+0966,DEVANAGARI DIGIT ZERO,०
Nd,U+0967,DEVANAGARI DIGIT ONE,१
Nd,U+0968,DEVANAGARI DIGIT TWO,२
Nd,U+0969,DEVANAGARI DIGIT THREE,३
Nd,U+096A,DEVANAGARI DIGIT FOUR,४
Nd,U+096B,DEVANAGARI DIGIT FIVE,५
Nd,U+096C,DEVANAGARI DIGIT SIX,६
Nd,U+096D,DEVANAGARI DIGIT SEVEN,७
Nd,U+096E,DEVANAGARI DIGIT EIGHT,८
Nd,U+096F,DEVANAGARI DIGIT NINE,९
Nd,U+09E6,BENGALI DIGIT ZERO,০
Nd,U+09E7,BENGALI DIGIT ONE,১
Nd,U+09E8,BENGALI DIGIT TWO,২
Nd,U+09E9,BENGALI DIGIT THREE,৩
Nd,U+09EA,BENGALI DIGIT FOUR,৪
Nd,U+09EB,BENGALI DIGIT FIVE,৫
Nd,U+09EC,BENGALI DIGIT SIX,৬
Nd,U+09ED,BENGALI DIGIT SEVEN,৭
Nd,U+09EE,BENGALI DIGIT EIGHT,৮
Nd,U+09EF,BENGALI DIGIT NINE,৯
Nd,U+0A66,GURMUKHI DIGIT ZERO,੦
Nd,U+0A67,GURMUKHI DIGIT ONE,੧
Nd,U+0A68,GURMUKHI DIGIT TWO,੨
Nd,U+0A69,GURMUKHI DIGIT THREE,੩
Nd,U+0A6A,GURMUKHI DIGIT FOUR,੪
Nd,U+0A6B,GURMUKHI DIGIT FIVE,੫
Nd,U+0A6C,GURMUKHI DIGIT SIX,੬
Nd,U+0A6D,GURMUKHI DIGIT SEVEN,੭
Nd,U+0A6E,GURMUKHI DIGIT EIGHT,੮
Nd,U+0A6F,GURMUKHI DIGIT NINE,੯
Nd,U+0AE6,GUJARATI DIGIT ZERO,૦
Nd,U+0AE7,GUJARATI DIGIT ONE,૧
Nd,U+0AE8,GUJARATI DIGIT TWO,૨
Nd,U+0AE9,GUJARATI DIGIT THREE,૩
Nd,U+0AEA,GUJARATI DIGIT FOUR,૪
Nd,U+0AEB,GUJARATI DIGIT FIVE,૫
Nd,U+0AEC,GUJARATI DIGIT SIX,૬
Nd,U+0AED,GUJARATI DIGIT SEVEN,૭
Nd,U+0AEE,GUJARATI DIGIT EIGHT,૮
Nd,U+0AEF,GUJARATI DIGIT NINE,૯
Nd,U+0B66,ORIYA DIGIT ZERO,୦
Nd,U+0B67,ORIYA DIGIT ONE,୧
Nd,U+0B68,ORIYA DIGIT TWO,୨
Nd,U+0B69,ORIYA DIGIT THREE,୩
Nd,U+0B6A,ORIYA DIGIT FOUR,୪
Nd,U+0B6B,ORIYA DIGIT FIVE,୫
Nd,U+0B6C,ORIYA DIGIT SIX,୬
Nd,U+0B6D,ORIYA DIGIT SEVEN,୭
Nd,U+0B6E,ORIYA DIGIT EIGHT,୮
Nd,U+0B6F,ORIYA DIGIT NINE,୯
Nd,U+0BE6,TAMIL DIGIT ZERO,௦
Nd,U+0BE7,TAMIL DIGIT ONE,௧
Nd,U+0BE8,TAMIL DIGIT TWO,௨
Nd,U+0BE9,TAMIL DIGIT THREE,௩
Nd,U+0BEA,TAMIL DIGIT FOUR,௪
Nd,U+0BEB,TAMIL DIGIT FIVE,௫
Nd,U+0BEC,TAMIL DIGIT SIX,௬
Nd,U+0BED,TAMIL DIGIT SEVEN,௭
Nd,U+0BEE,TAMIL DIGIT EIGHT,௮
Nd,U+0BEF,TAMIL DIGIT NINE,௯
Nd,U+0C66,TELUGU DIGIT ZERO,౦
Nd,U+0C67,TELUGU DIGIT ONE,౧
Nd,U+0C68,TELUGU DIGIT TWO,౨
Nd,U+0C69,TELUGU DIGIT THREE,౩
Nd,U+0C6A,TELUGU DIGIT FOUR,౪
Nd,U+0C6B,TELUGU DIGIT FIVE,౫
Nd,U+0C6C,TELUGU DIGIT SIX,౬
Nd,U+0C6D,TELUGU DIGIT SEVEN,౭
Nd,U+0C6E,TELUGU DIGIT EIGHT,౮
Nd,U+0C6F,TELUGU DIGIT NINE,౯
Nd,U+0CE6,KANNADA DIGIT ZERO,೦
Nd,U+0CE7,KANNADA DIGIT ONE,೧
Nd,U+0CE8,KANNADA DIGIT TWO,೨
Nd,U+0CE9,KANNADA DIGIT THREE,೩
Nd,U+0CEA,KANNADA DIGIT FOUR,೪
Nd,U+0CEB,KANNADA DIGIT FIVE,೫
Nd,U+0CEC,KANNADA DIGIT SIX,೬
Nd,U+0CED,KANNADA DIGIT SEVEN,೭
Nd,U+0CEE,KANNADA DIGIT EIGHT,೮
Nd,U+0CEF,KANNADA DIGIT NINE,೯
Nd,U+0D66,MALAYALAM DIGIT ZERO,൦
Nd,U+0D67,MALAYALAM DIGIT ONE,൧
Nd,U+0D68,MALAYALAM DIGIT TWO,൨
Nd,U+0D69,MALAYALAM DIGIT THREE,൩
Nd,U+0D6A,MALAYALAM DIGIT FOUR,൪
Nd,U+0D6B,MALAYALAM DIGIT FIVE,൫
Nd,U+0D6C,MALAYALAM DIGIT SIX,൬
Nd,U+0D6D,MALAYALAM DIGIT SEVEN,൭
Nd,U+0D6E,MALAYALAM DIGIT EIGHT,൮
Nd,U+0D6F,MALAYALAM DIGIT NINE,൯
Nd,U+0DE6,SINHALA LITH DIGIT ZERO,෦
Nd,U+0DE7,SINHALA LITH DIGIT ONE,෧
Nd,U+0DE8,SINHALA LITH DIGIT TWO,෨
Nd,U+0DE9,SINHALA LITH DIGIT THREE,෩
Nd,U+0DEA,SINHALA LITH DIGIT FOUR,෪
Nd,U+0DEB,SINHALA LITH DIGIT FIVE,෫
Nd,U+0DEC,SINHALA LITH DIGIT SIX,෬
Nd,U+0DED,SINHALA LITH DIGIT SEVEN,෭
Nd,U+0DEE,SINHALA LITH DIGIT EIGHT,෮
Nd,U+0DEF,SINHALA LITH DIGIT NINE,෯
Nd,U+0E50,THAI DIGIT ZERO,๐
Nd,U+0E51,THAI DIGIT ONE,๑
Nd,U+0E52,THAI DIGIT TWO,๒
Nd,U+0E53,THAI DIGIT THREE,๓
Nd,U+0E54,THAI DIGIT FOUR,๔
Nd,U+0E55,THAI DIGIT FIVE,๕
Nd,U+0E56,THAI DIGIT SIX,๖
Nd,U+0E57,THAI DIGIT SEVEN,๗
Nd,U+0E58,THAI DIGIT EIGHT,๘
Nd,U+0E59,THAI DIGIT NINE,๙
Nd,U+0ED0,LAO DIGIT ZERO,໐
Nd,U+0ED1,LAO DIGIT ONE,໑
Nd,U+0ED2,LAO DIGIT TWO,໒
Nd,U+0ED3,LAO DIGIT THREE,໓
Nd,U+0ED4,LAO DIGIT FOUR,໔
Nd,U+0ED5,LAO DIGIT FIVE,໕
Nd,U+0ED6,LAO DIGIT SIX,໖
