category,unicode,name,browser
Pc,U+005F,LOW LINE,_
Pc,U+203F,UNDERTIE,‿
Pc,U+2040,CHARACTER TIE,⁀
Pc,U+2054,INVERTED UNDERTIE,⁔
Pc,U+FE33,PRESENTATION FORM FOR VERTICAL LOW LINE,︳
Pc,U+FE34,PRESENTATION FORM FOR VERTICAL WAVY LOW LINE,︴
Pc,U+FE4D,DASHED LOW LINE,﹍
Pc,U+FE4E,CENTRELINE LOW LINE,﹎
Pc,U+FE4F,WAVY LOW LINE,﹏
Pc,U+FF3F,FULLWIDTH LOW LINE,＿
Pe,U+0029,RIGHT PARENTHESIS,)
Pe,U+005D,RIGHT SQUARE BRACKET,]
Pe,U+007D,RIGHT CURLY BRACKET,}
Pe,U+0F3B,TIBETAN MARK GUG RTAGS GYAS,༻
Pe,U+0F3D,TIBETAN MARK ANG KHANG GYAS,༽
Pe,U+169C,OGHAM REVERSED FEATHER MARK,᚜
Pe,U+2046,RIGHT SQUARE BRACKET WITH QUILL,⁆
Pe,U+207E,SUPERSCRIPT RIGHT PARENTHESIS,⁾
Pe,U+208E,SUBSCRIPT RIGHT PARENTHESIS,₎
Pe,U+2309,RIGHT CEILING,⌉
Pe,U+230B,RIGHT FLOOR,⌋
Pe,U+232A,RIGHT-POINTING ANGLE BRACKET,〉
Pe,U+2769,MEDIUM RIGHT PARENTHESIS ORNAMENT,❩
Pe,U+276B,MEDIUM FLATTENED RIGHT PARENTHESIS ORNAMENT,❫
Pe,U+276D,MEDIUM RIGHT-POINTING ANGLE BRACKET ORNAMENT,❭
Pe,U+276F,HEAVY RIGHT-POINTING ANGLE QUOTATION MARK ORNAMENT,❯
Pe,U+2771,HEAVY RIGHT-POINTING ANGLE BRACKET ORNAMENT,❱
Pe,U+2773,LIGHT RIGHT TORTOISE SHELL BRACKET ORNAMENT,❳
Pe,U+2775,MEDIUM RIGHT CURLY BRACKET ORNAMENT,❵
Pe,U+27C6,RIGHT S-SHAPED BAG DELIMITER,⟆
Pe,U+27E7,MATHEMATICAL RIGHT WHITE SQUARE BRACKET,⟧
Pe,U+27E9,MATHEMATICAL RIGHT ANGLE BRACKET,⟩
Pe,U+27EB,MATHEMATICAL RIGHT DOUBLE ANGLE BRACKET,⟫
Pe,U+27ED,MATHEMATICAL RIGHT WHITE TORTOISE SHELL BRACKET,⟭
Pe,U+27EF,MATHEMATICAL RIGHT FLATTENED PARENTHESIS,⟯
Pe,U+2984,RIGHT WHITE CURLY BRACKET,⦄
Pe,U+2986,RIGHT WHITE PARENTHESIS,⦆
Pe,U+2988,Z NOTATION RIGHT IMAGE BRACKET,⦈
Pe,U+298A,Z NOTATION RIGHT BINDING BRACKET,⦊
Pe,U+298C,RIGHT SQUARE BRACKET WITH UNDERBAR,⦌
Pe,U+298E,RIGHT SQUARE BRACKET WITH TICK IN BOTTOM CORNER,⦎
Pe,U+2990,RIGHT SQUARE BRACKET WITH TICK IN TOP CORNER,⦐
Pe,U+2992,RIGHT ANGLE BRACKET WITH DOT,⦒
Pe,U+2994,RIGHT ARC GREATER-THAN BRACKET,⦔
Pe,U+2996,DOUBLE RIGHT ARC LESS-THAN BRACKET,⦖
Pe,U+2998,RIGHT BLACK TORTOISE SHELL BRACKET,⦘
Pe,U+29D9,RIGHT WIGGLY FENCE,⧙
Pe,U+29DB,RIGHT DOUBLE WIGGLY FENCE,⧛
Pe,U+29FD,RIGHT-POINTING CURVED ANGLE BRACKET,⧽
Pe,U+2E23,TOP RIGHT HALF BRACKET,⸣
Pe,U+2E25,BOTTOM RIGHT HALF BRACKET,⸥
Pe,U+2E27,RIGHT SIDEWAYS U BRACKET,⸧
Pe,U+2E29,RIGHT DOUBLE PARENTHESIS,⸩
Pe,U+3009,RIGHT ANGLE BRACKET,〉
Pe,U+300B,RIGHT DOUBLE ANGLE BRACKET,》
Pe,U+300D,RIGHT CORNER BRACKET,」
Pe,U+300F,RIGHT WHITE CORNER BRACKET,』
Pe,U+3011,RIGHT BLACK LENTICULAR BRACKET,】
Pe,U+3015,RIGHT TORTOISE SHELL BRACKET,〕
Pe,U+3017,RIGHT WHITE LENTICULAR BRACKET,〗
Pe,U+3019,RIGHT WHITE TORTOISE SHELL BRACKET,〙
Pe,U+301B,RIGHT WHITE SQUARE BRACKET,〛
Pe,U+301E,DOUBLE PRIME QUOTATION MARK,〞
Pe,U+301F,LOW DOUBLE PRIME QUOTATION MARK,〟
Pe,U+FD3E,ORNATE LEFT PARENTHESIS,﴾
Pe,U+FE18,PRESENTATION FORM FOR VERTICAL RIGHT WHITE LENTICULAR BRAKCET,︘
Pe,U+FE36,PRESENTATION FORM FOR VERTICAL RIGHT PARENTHESIS,︶
Pe,U+FE38,PRESENTATION FORM FOR VERTICAL RIGHT CURLY BRACKET,︸
Pe,U+FE3A,PRESENTATION FORM FOR VERTICAL RIGHT TORTOISE SHELL BRACKET,︺
Pe,U+FE3C,PRESENTATION FORM FOR VERTICAL RIGHT BLACK LENTICULAR BRACKET,︼
Pe,U+FE3E,PRESENTATION FORM FOR VERTICAL RIGHT DOUBLE ANGLE BRACKET,︾
Pe,U+FE40,PRESENTATION FORM FOR VERTICAL RIGHT ANGLE BRACKET,﹀
Pe,U+FE42,PRESENTATION FORM FOR VERTICAL RIGHT CORNER BRACKET,﹂
Pe,U+FE44,PRESENTATION FORM FOR VERTICAL RIGHT WHITE CORNER BRACKET,﹄
Pe,U+FE48,PRESENTATION FORM FOR VERTICAL RIGHT SQUARE BRACKET,﹈
Pe,U+FE5A,SMALL RIGHT PARENTHESIS,﹚
Pe,U+FE5C,SMALL RIGHT CURLY BRACKET,﹜
Pe,U+FE5E,SMALL RIGHT TORTOISE SHELL BRACKET,﹞
Pe,U+FF09,FULLWIDTH RIGHT PARENTHESIS,）
Pe,U+FF3D,FULLWIDTH RIGHT SQUARE BRACKET,］
Pe,U+FF5D,FULLWIDTH RIGHT CURLY BRACKET,｝
Pe,U+FF60,FULLWIDTH RIGHT WHITE PARENTHESIS,｠
Pe,U+FF63,HALFWIDTH RIGHT CORNER BRACKET,｣
Pe,U+0029,RIGHT PARENTHESIS,)
Pe,U+005D,RIGHT SQUARE BRACKET,]
Pe,U+007D,RIGHT CURLY BRACKET,}
Pe,U+0F3B,TIBETAN MARK GUG RTAGS GYAS,༻
Pe,U+0F3D,TIBETAN MARK ANG KHANG GYAS,༽
Pe,U+169C,OGHAM REVERSED FEATHER MARK,᚜
Pe,U+2046,RIGHT SQUARE BRACKET WITH QUILL,⁆
Pe,U+207E,SUPERSCRIPT RIGHT PARENTHESIS,⁾
Pe,U+208E,SUBSCRIPT RIGHT PARENTHESIS,₎
Pe,U+2309,RIGHT CEILING,⌉
Pe,U+230B,RIGHT FLOOR,⌋
Pe,U+232A,RIGHT-POINTING ANGLE BRACKET,〉
Pe,U+2769,MEDIUM RIGHT PARENTHESIS ORNAMENT,❩
Pe,U+276B,MEDIUM FLATTENED RIGHT PARENTHESIS ORNAMENT,❫
Pe,U+276D,MEDIUM RIGHT-POINTING ANGLE BRACKET ORNAMENT,❭
Pe,U+276F,HEAVY RIGHT-POINTING ANGLE QUOTATION MARK ORNAMENT,❯
Pe,U+2771,HEAVY RIGHT-POINTING ANGLE BRACKET ORNAMENT,❱
Pe,U+2773,LIGHT RIGHT TORTOISE SHELL BRACKET ORNAMENT,❳
Pe,U+2775,MEDIUM RIGHT CURLY BRACKET ORNAMENT,❵
Pe,U+27C6,RIGHT S-SHAPED BAG DELIMITER,⟆
Pe,U+27E7,MATHEMATICAL RIGHT WHITE SQUARE BRACKET,⟧
Pe,U+27E9,MATHEMATICAL RIGHT ANGLE BRACKET,⟩
Pe,U+27EB,MATHEMATICAL RIGHT DOUBLE ANGLE BRACKET,⟫
Pe,U+27ED,MATHEMATICAL RIGHT WHITE TORTOISE SHELL BRACKET,⟭
Pe,U+27EF,MATHEMATICAL RIGHT FLATTENED PARENTHESIS,⟯
Pe,U+2984,RIGHT WHITE CURLY BRACKET,⦄
Pe,U+2986,RIGHT WHITE PARENTHESIS,⦆
Pe,U+2988,Z NOTATION RIGHT IMAGE BRACKET,⦈
Pe,U+298A,Z NOTATION RIGHT BINDING BRACKET,⦊
Pe,U+298C,RIGHT SQUARE BRACKET WITH UNDERBAR,⦌
Pe,U+298E,RIGHT SQUARE BRACKET WITH TICK IN BOTTOM CORNER,⦎
Pe,U+2990,RIGHT SQUARE BRACKET WITH TICK IN TOP CORNER,⦐
Pe,U+2992,RIGHT ANGLE BRACKET WITH DOT,⦒
Pe,U+2994,RIGHT ARC GREATER-THAN BRACKET,⦔
Pe,U+2996,DOUBLE RIGHT ARC LESS-THAN BRACKET,⦖
Pe,U+2998,RIGHT BLACK TORTOISE SHELL BRACKET,⦘
Pe,U+29D9,RIGHT WIGGLY FENCE,⧙
Pe,U+29DB,RIGHT DOUBLE WIGGLY FENCE,⧛
Pe,U+29FD,RIGHT-POINTING CURVED ANGLE BRACKET,⧽
Pe,U+2E23,TOP RIGHT HALF BRACKET,⸣
Pe,U+2E25,BOTTOM RIGHT HALF BRACKET,⸥
Pe,U+2E27,RIGHT SIDEWAYS U BRACKET,⸧
Pe,U+2E29,RIGHT DOUBLE PARENTHESIS,⸩
Pe,U+3009,RIGHT ANGLE BRACKET,〉
Pe,U+300B,RIGHT DOUBLE ANGLE BRACKET,》
Pe,U+300D,RIGHT CORNER BRACKET,」
Pe,U+300F,RIGHT WHITE CORNER BRACKET,』
Pe,U+3011,RIGHT BLACK LENTICULAR BRACKET,】
Pe,U+3015,RIGHT TORTOISE SHELL BRACKET,〕
Pe,U+3017,RIGHT WHITE LENTICULAR BRACKET,〗
Pe,U+3019,RIGHT WHITE TORTOISE SHELL BRACKET,〙
Pe,U+301B,RIGHT WHITE SQUARE BRACKET,〛
Pe,U+301E,DOUBLE PRIME QUOTATION MARK,〞
Pe,U+301F,LOW DOUBLE PRIME QUOTATION MARK,〟
Pe,U+FD3E,ORNATE LEFT PARENTHESIS,﴾
Pe,U+FE18,PRESENTATION FORM FOR VERTICAL RIGHT WHITE LENTICULAR BRAKCET,︘
Pe,U+FE36,PRESENTATION FORM FOR VERTICAL RIGHT PARENTHESIS,︶
Pe,U+FE38,PRESENTATION FORM FOR VERTICAL RIGHT CURLY BRACKET,︸
Pe,U+FE3A,PRESENTATION FORM FOR VERTICAL RIGHT TORTOISE SHELL BRACKET,︺
Pe,U+FE3C,PRESENTATION FORM FOR VERTICAL RIGHT BLACK LENTICULAR BRACKET,︼
Pe,U+FE3E,PRESENTATION FORM FOR VERTICAL RIGHT DOUBLE ANGLE BRACKET,︾
Pe,U+FE40,PRESENTATION FORM FOR VERTICAL RIGHT ANGLE BRACKET,﹀
Pe,U+FE42,PRESENTATION FORM FOR VERTICAL RIGHT CORNER BRACKET,﹂
Pe,U+FE44,PRESENTATION FORM FOR VERTICAL RIGHT WHITE CORNER BRACKET,﹄
Pe,U+FE48,PRESENTATION FORM FOR VERTICAL RIGHT SQUARE BRACKET,﹈
Pe,U+FE5A,SMALL RIGHT PARENTHESIS,﹚
Pe,U+FE5C,SMALL RIGHT CURLY BRACKET,﹜
Pe,U+FE5E,SMALL RIGHT TORTOISE SHELL BRACKET,﹞
Pe,U+FF09,FULLWIDTH RIGHT PARENTHESIS,）
Pe,U+FF3D,FULLWIDTH RIGHT SQUARE BRACKET,］
Pe,U+FF5D,FULLWIDTH RIGHT CURLY BRACKET,｝
Pe,U+FF60,FULLWIDTH RIGHT WHITE PARENTHESIS,｠
Pe,U+FF63,HALFWIDTH RIGHT CORNER BRACKET,｣
